Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,MA,Slope,Volatility,TrendStrength,Shock,Trend
20260113,4794.740234375,4809.35009765625,4778.31005859375,4807.1298828125,227973800,0.0,0.0,0.8464854571612612,4661.17998046875,1.4168795356230612,0.4186296151650323,3.384565936799523,2.022039116433651,Euphoria
20260114,4800.990234375,4812.509765625,4786.419921875,4812.509765625,203038300,0.0,0.0,0.11191465476594331,4672.34697265625,1.3667826581698073,0.41762436727744684,3.2727560105749083,0.26797922615371084,Bullish
20260115,4806.27978515625,4833.33984375,4793.39013671875,4833.33984375,196548400,0.0,0.0,0.43283191389626996,4685.0274658203125,1.9892093391299825,0.40611091734945504,4.8981922281549615,1.0657972869116978,Bullish
20260116,4841.97021484375,4849.10009765625,4828.14990234375,4849.10009765625,210166200,0.0,0.0,0.32607377953424166,4698.708471679687,2.2012101597766565,0.39708239224350084,5.543459500533127,0.8211741087081118,Bullish
20260119,4834.4599609375,4834.8798828125,4819.93017578125,4834.8798828125,178851700,0.0,0.0,-0.2932547185533041,4711.92197265625,1.4286394741438224,0.40895755590550925,3.4933685745958276,-0.7170786168847835,Bullish
20260120,4817.02001953125,4842.4501953125,4808.93017578125,4828.0,260675100,0.0,0.0,-0.14229687146846137,4724.832983398437,0.4341492261758839,0.414658903463892,1.0470032659353934,-0.3431660824831473,Bullish
20260121,4798.3798828125,4814.77001953125,4790.43017578125,4809.8798828125,219924900,0.0,0.0,-0.3753131149026534,4734.812475585937,-0.054646804693980755,0.4128770781250374,-0.13235611175641795,-0.909019015071096,Sideways
20260122,4829.669921875,4844.5,4821.5,4828.31982421875,267421400,0.0,0.0,0.3833763390254985,4744.279956054687,-0.10386233315957671,0.403776661750446,-0.2572271827433374,0.9494762212444168,Sideways
20260123,4839.68994140625,4895.14990234375,4839.259765625,4891.4501953125,234708600,0.0,0.0,1.3075018514119519,4757.035473632813,0.8733599390270186,0.46806176320925363,1.8659074670805158,2.793438717247695,Euphoria
20260126,4896.06982421875,4898.14013671875,4854.0498046875,4860.93017578125,204813000,0.0,0.0,-0.6239462391030237,4768.274487304688,0.5387991759910227,0.5060880909597759,1.0646351605887652,-1.2328806985355742,Bullish
20260127,4898.22998046875,4923.02001953125,4880.60009765625,4923.02001953125,333712800,0.0,0.0,1.2773243289803338,4782.743481445313,1.9681031385925918,0.5511712951903489,3.570764943252171,2.3174725173944433,Euphoria
20260128,4919.22021484375,4925.5400390625,4890.2900390625,4909.33984375,267320200,0.0,0.0,-0.2778817824623192,4795.441479492188,2.0678262942263492,0.5645953633462848,3.662492518483691,-0.4921786477581914,Bullish
20260129,4924.009765625,4931.10009765625,4902.77978515625,4930.02978515625,266455000,0.0,0.0,0.4214403986024795,4809.632470703125,2.1065290751313803,0.5546693577096561,3.7978104358057068,0.7598047246429722,Bullish
20260130,4933.8798828125,4933.8798828125,4900.5498046875,4905.1298828125,319808200,0.0,0.0,-0.5050659616443021,4822.082958984375,0.27966527213358905,0.5830031148286573,0.47969773234536106,-0.8663177756652969,Sideways
20260202,4913.259765625,4927.43017578125,4861.81982421875,4892.27001953125,287935900,0.0,0.0,-0.26217171794595817,4832.671459960938,0.6447293546026467,0.5909002747252647,1.0910967250817567,-0.44368183458342986,Bullish
20260203,4910.43017578125,4948.64990234375,4910.39990234375,4944.08984375,277616100,0.0,0.0,1.0592183998812787,4842.87744140625,0.42798575133067285,0.5727925910926183,0.747191493022418,1.849218052665083,Bullish
20260204,4940.8798828125,4965.5,4939.91015625,4965.5,248854600,0.0,0.0,0.4330454527857297,4853.771435546875,1.1439451746551255,0.5747323432811173,1.9903963784679342,0.753473260811277,Bullish
20260205,4965.5,4980.56982421875,4944.240234375,4975.8701171875,270262900,0.0,0.0,0.20884336295439176,4865.6114501953125,0.9298185615281618,0.5667875386744065,1.6405063592308442,0.36846851545612885,Bullish
20260206,4936.35986328125,4953.0,4926.7998046875,4934.41015625,349464000,0.0,0.0,-0.8332203204880706,4875.098950195313,0.5969316641359024,0.6158462795607788,0.969286791115526,-1.3529680183865411,Bullish
20260209,4935.1298828125,4981.97021484375,4929.06982421875,4960.830078125,270210700,0.0,0.0,0.5354220877147098,4884.80146484375,1.4013956367910918,0.617624527735089,2.2690090400557685,0.8669054800627389,Bullish
20260210,4950.10986328125,4964.41015625,4934.27001953125,4964.25,216100900,0.0,0.0,0.06893850063682816,4892.657470703125,0.4077627407091944,0.5990828026745267,0.6806450442055606,0.11507340943365633,Bullish
20260211,4960.35009765625,4986.33984375,4946.39013671875,4984.580078125,372695900,0.0,0.0,0.40952969985394994,4901.260986328125,0.3842529075621881,0.6014481295061319,0.6388795454027105,0.6809060994008374,Bullish
20260212,4992.52001953125,5021.27001953125,4986.22021484375,5016.759765625,306282700,0.0,0.0,0.6455847231990886,4910.431982421875,0.821758757252522,0.6080466792668454,1.3514731438766523,1.0617354640888834,Bullish
